PMID,QID,question,evidence,rationale,answer
18715920,1,Does the paper report HIV sequences from patient samples?,"The paper states that ""Viral RNA was extracted from culture supernatant or virus stock using a NucliSens easyMAG apparatus"" and that ""cDNA encoding reverse transcriptase and IN was generated with Expand Reverse Transcriptase"".","The paper reports that HIV sequences were obtained from viral RNA extracted from culture supernatant or virus stock, which suggests that the sequences were obtained from patient samples.",Yes
18715920,2,Does the paper report in vitro drug susceptibility data?,"The paper states that ""The antiviral activity of different inhibitors was determined in a cell-based HIV-1 replication assay"" and that ""The susceptibilities of the HIV strains to the presence of high EVG concentrations were determined"".",The paper reports that in vitro drug susceptibility data was obtained using a cell-based HIV-1 replication assay.,Yes
18715920,3,Were sequences from the paper made publicly available?,The paper does not provide GenBank accession numbers or state that sequences have been submitted to GenBank or another public database.,The paper does not provide any information about the public availability of the sequences.,No
18715920,4,What were the GenBank accession numbers for sequenced HIV isolates?,Not reported.,The paper does not provide GenBank accession numbers for the sequenced HIV isolates.,Not reported
18715920,5,How many individuals had samples obtained for HIV sequencing?,The paper does not provide information about the number of individuals who had samples obtained for HIV sequencing.,The paper does not provide any information about the number of individuals who had samples obtained for HIV sequencing.,Not reported
18715920,6,From which countries were the sequenced samples obtained?,Not reported.,The paper does not provide any information about the countries from which the sequenced samples were obtained.,Not reported
18715920,7,From what years were the sequenced samples obtained?,Not reported.,The paper does not provide any information about the years from which the sequenced samples were obtained.,Not reported
18715920,8,Were samples cloned prior to sequencing?,"The paper states that ""SDMs of IN coding sequences were constructed in the pUC19-5′HXB2D vector"" and that ""Altered plasmid sequences were confirmed by dideoxyribose sequencing"".","The paper reports that site-directed mutagenesis was performed on isolates that were sequenced, which suggests that samples were cloned prior to sequencing.",Yes
18715920,9,Which HIV genes were reported to have been sequenced?,"The paper states that ""cDNA encoding reverse transcriptase and IN was generated with Expand Reverse Transcriptase"" and that ""PCR products were genotyped by automated population-based full-sequence analysis (ABI Prism BigDye Terminator cycle sequencing)"".",The paper reports that the IN gene was sequenced.,IN
18715920,10,What method was used for sequencing?,"The paper states that ""PCR products were genotyped by automated population-based full-sequence analysis (ABI Prism BigDye Terminator cycle sequencing)"".",The paper reports that Sanger sequencing was used.,Sanger sequencing
18715920,11,What type of samples were sequenced?,"The paper states that ""Viral RNA was extracted from culture supernatant or virus stock using a NucliSens easyMAG apparatus"".","The paper reports that viral RNA was extracted from culture supernatant or virus stock, which suggests that the samples were not directly from patients.",Not applicable
18715920,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,"The paper states that ""The virus was propagated over 41 passages (144 days) while the concentration of EVG was gradually increased from 5 nM up to 10 μM"".","The paper reports that the virus was propagated in the presence of increasing concentrations of EVG, which suggests that the sequences were obtained from individuals with virological failure on a treatment regimen.",Yes
18715920,13,Were the patients in the study in a clinical trial?,The paper does not provide any information about a clinical trial.,The paper does not provide any information about a clinical trial.,No
18715920,14,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,"The paper states that ""The virus was propagated over 41 passages (144 days) while the concentration of EVG was gradually increased from 5 nM up to 10 μM"".","The paper reports that the virus was propagated in the presence of increasing concentrations of EVG, which suggests that the sequences were obtained from individuals who had previously received ARV drugs.",Yes
18715920,15,Which drug classes were received by individuals in the study before sample sequencing?,"The paper states that ""The virus was propagated over 41 passages (144 days) while the concentration of EVG was gradually increased from 5 nM up to 10 μM"".","The paper reports that the virus was propagated in the presence of increasing concentrations of EVG, which suggests that the individuals received INSTIs before sample sequencing.",INSTIs
18715920,16,Which drugs were received by individuals in the study before sample sequencing?,"The paper states that ""The virus was propagated over 41 passages (144 days) while the concentration of EVG was gradually increased from 5 nM up to 10 μM"".","The paper reports that the virus was propagated in the presence of increasing concentrations of EVG, which suggests that the individuals received EVG before sample sequencing.",EVG
19104010,1,Does the paper report HIV sequences from patient samples?,"The paper does not report HIV sequences from patient samples. It reports the construction of infectious HIV-1 DNA clones with IN mutations and the use of HIV-1 strain IIIb, but it does not mention the use of patient samples.","The paper focuses on the preclinical evaluation of GS-9160, a novel inhibitor of HIV-1 integrase, and does not involve the use of patient samples.",No
